year,msa code,msa name,closest MSA in hours,Total,working age,Percent,Top 20 grad,Ugrads to top,House,% Commute,Viol Crime,Patent/,Kauffman,Site ,total sq feet,underused,acres,,Top 50 grad,gov't at Univ
,,,,population,population,College grad,programs,20 /year,Price,<30 minutes,Per 1000,1000 work,,Selection,,square feet,land,,programs,R&D per cap
2016,27780,"Johnstown, PA",1.5 to pitt,134732,67040,0.22,0,2.3,115046,0.71,1.796158314,0.055844333,0,0,82398,0,135,,0,47
2016,27860,"Jonesboro, AR",1.25 to memphis,129858,65251,0.21,0,1.7,146593,0.85,3.935067654,0.123579971,0,0,5424,0,0,,0,208
2016,27900,"Joplin, MO",1.25 to springfield,177805,89213,0.20,0,0.7,150143,0.84,3.247173309,0.197409004,0,1,201257,6503,4368,,0,0
2016,28020,"Kalamazoo-Portage, MI", ,336877,164558,0.34,1,16.6,178623,0.77,4.523906231,0.360708237,0,0,784804,0,7778,,2,100
2016,28100,"Kankakee, IL",,110008,55221,0.19,0,0.8,160950,0.70,2.936150074,0.206752136,0,0,24562,0,0,,0,0
2016,28140,"Kansas City, MO-KS",,2104115,1117866,0.37,1,6.9,217714,0.68,4.747363091,0.426915675,1,0,21021482,1841434.25,7197,,2,27
2016,28420,"Kennewick-Richland, WA",nothing,283846,141204,0.26,0,0.0,223893,0.77,2.008131266,0.390049756,0,0,4274665,864764,375247,,0,0
2016,28660,"Killeen-Temple, TX",1 hour to austin,435887,220347,0.21,0,0.5,157998,0.78,3.356374502,0.056042332,0,0,25916308,4474,214309,,0,0
2016,28700,"Kingsport-Bristol-Bristol, TN-VA",,307723,160228,0.19,0,2.1,163641,0.70,3.24317646,0.296473473,0,0,2491520,0,6049,,0,0
2016,28740,"Kingston, NY",nothing,179225,96075,0.33,0,1.5,253930,0.61,1.852420092,0.62777549,0,0,7820,0,0,,0,2
2016,28940,"Knoxville, TN",nothing,869076,448270,0.29,2,24.0,210762,0.69,3.695879221,0.349138677,0,0,9060753,1360330,36032,,10,771
2016,29020,"Kokomo, IN",,82568,41492,0.21,0,0.4,127785,0.84,2.228466272,0.34753263,0,0,3278,0,0,,0,0
2016,29100,"La Crosse-Onalaska, WI-MN","1.75 to eau claire; 1.25 to rocheester, MN",136936,66750,0.35,0,7.5,188013,0.82,1.153823733,0.224603325,0,0,71915,0,73,,0,48
2016,29180,"Lafayette, LA",nothing,491528,256942,0.23,2,2.6,188952,0.69,4.124873638,0.241826937,0,0,513604,0,64,,2,282
2016,29200,"Lafayette-West Lafayette, IN",1 to indy,217439,97816,0.34,18,70.1,176784,0.80,,0.917461038,0,0,,,,,27,5044
2016,29340,"Lake Charles, LA",,207432,108095,0.20,0,0.8,175198,0.79,5.537849903,0.064885817,0,0,153576,0,698,,0,11
2016,29420,"Lake Havasu City-Kingman, AZ",nothing,205249,96331,0.11,0,0.0,171494,0.77,1.973213077,0.043550577,0,0,130144,0,17633,,0,0
2016,29460,"Lakeland-Winter Haven, FL",0.45 to orlando; 0.45 to tampa,666149,327597,0.20,0,0.9,159879,0.65,3.314573765,0.086710751,0,0,81416,32076,2,,0,0
2016,29540,"Lancaster, PA",<1 to harrisburg,538500,269075,0.25,0,18.1,239890,0.69,1.626740932,0.358142048,0,0,13998,1000,6,,0,16
2016,29620,"Lansing-East Lansing, MI",,475099,234429,0.34,12,60.5,165110,0.78,4.077868938,0.228951931,0,0,341352,0,50,,33,1830
2016,29700,"Laredo, TX",,271193,123714,0.17,0,0.1,136530,0.75,3.96765399,0.007183413,0,0,607558,0,251,,0,14
2016,29740,"Las Cruces, NM",0.75 to el paso,214207,97694,0.26,0,9.2,165744,0.78,2.852380991,0.100093864,0,0,7617671,4405,2736244,,2,1682
2016,29820,"Las Vegas-Henderson-Paradise, NV",,2155664,1160759,0.23,0,4.0,273403,0.65,7.121239662,0.194645956,1,0,11425077,16018,11935,,0,44
2016,29940,"Lawrence, KS",0.75 to KC; 0.5 to topeka; 1.25 to manhattan,119440,55807,0.52,1,25.5,231876,0.73,2.160460949,0.439954519,0,0,390637,0,320,,7,3999
2016,30020,"Lawton, OK",1.5 to okc,127762,64273,0.20,0,0.5,170982,0.87,7.232197285,0.068574823,0,0,14528125,0,42854,,0,0
2016,30140,"Lebanon, PA",0.75 to harrisburg,138863,68504,0.21,0,2.8,188409,0.68,1.505080581,0.224045187,0,0,4716006,14331,17615,,0,0
2016,30300,"Lewiston, ID-WA",,62675,31211,0.20,0,0.5,202326,0.89,1.85081768,0.073320605,0,0,39567,0,14,,0,0
2016,30340,"Lewiston-Auburn, ME",1.5 to bangor,107319,56871,0.22,0,10.5,179940,0.66,1.416338205,0.054922994,0,1,7220,0,0,,0,28
2016,30460,"Lexington-Fayette, KY",,506751,265644,0.37,7,31.6,229747,0.73,2.569309235,0.436401069,0,0,1235354,0,1332,,15,1525
2016,30620,"Lima, OH",,103742,51244,0.17,0,0.5,130020,0.82,3.944972992,0.055850368,0,0,1651419,0,369,,0,6
2016,30700,"Lincoln, NE",1 to omaha,326591,159037,0.40,4,28.1,207597,0.82,2.921084881,0.341816604,0,1,1546638,3449,330,,12,2150
2016,30780,"Little Rock-North Little Rock-Conway, AR",,734381,382489,0.31,0,6.3,193906,0.70,6.941122532,0.097703055,0,0,8829191,85839.39844,50085,,0,391
2016,30860,"Logan, UT-ID",<1 to ogden,135439,56214,0.37,2,14.0,233751,0.85,0.524221241,0.722033918,0,0,138459,0,334,,2,2653
2016,30980,"Longview, TX",1 to shreveport,217446,109999,0.20,0,0.8,156984,0.70,3.830836058,0.143687621,0,0,15393,0,0,,0,10
2016,31020,"Longview, WA",,105160,53129,0.17,0,0.0,224124,0.70,2.424876451,0.091727078,0,0,63909,7091,1655,,0,0
2016,31080,"Los Angeles-Long Beach-Anaheim, CA",,13310447,7285954,0.34,62,378.4,727823,0.51,,0.538683236,1,1,,,,,112,381
2016,31140,"Louisville/Jefferson County, KY-IN",,1283297,687924,0.28,1,6.7,203597,0.66,3.895095587,0.204045281,0,0,17200762,0,128407,,2,17
2016,31180,"Lubbock, TX",nothing,313910,147143,0.30,0,9.9,168381,0.88,7.175092697,0.116574265,0,0,356262,0,98,,1,1057
2016,31340,"Lynchburg, VA",1.25 to charlottesville,261167,125505,0.27,0,4.2,197672,0.70,2.311561346,0.191106051,0,0,190925,2913,352,,0,1
2016,31420,"Macon-Bibb County, GA",0.5 from warner robins,226998,117019,0.24,0,3.6,152741,0.71,4.041062355,0.083875455,0,0,313196,0,1164,,0,317
2016,31460,"Madera, CA",,154697,75545,0.12,0,0.0,281582,0.64,5.740253448,0.067023136,0,0,114911,7111,0,,0,0
2016,31540,"Madison, WI",,648929,341433,0.47,28,136.4,281753,0.74,1.98429513,0.807014883,0,0,2541960,12773,463,,57,2875
2016,31700,"Manchester-Nashua, NH",,407761,225510,0.37,0,2.0,289235,0.64,2.624086142,1.038963675,0,0,474729,7976,30,,0,0
2016,31740,"Manhattan, KS",,97004,42412,0.43,4,20.3,217102,0.87,2.422580481,0.265599251,0,0,12712090,0,78138,,9,3524
2016,31860,"Mankato-North Mankato, MN",1.5 to minny,100016,46096,0.32,0,13.2,200050,0.86,1.7797153,0.446116507,0,0,14024,0,0,,0,56
2016,31900,"Mansfield, OH",,121107,62726,0.18,0,0.0,124393,0.78,2.115975142,0.082341798,0,0,445820,0,287,,0,3
2016,32580,"McAllen-Edinburg-Mission, TX",,849843,379606,0.18,0,2.9,109240,0.78,3.224830866,0.020528821,0,0,604598,0,1398,,0,48
2016,32780,"Medford, OR",nothing,216527,108936,0.27,0,1.7,292642,0.82,3.113195658,0.221179783,0,0,440281,27960,471,,0,10
2016,32820,"Memphis, TN-MS-AR",,1346437,704503,0.27,0,7.5,177757,0.65,10.31954956,0.249590963,0,0,7137691,0,2771,,1,73
2016,32900,"Merced, CA",,268672,129063,0.14,0,0.0,274637,0.69,5.52718544,0.035298914,0,0,156382,0,664,,0,225
2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",,6066387,3252195,0.31,2,28.1,355263,0.52,5.089025974,0.25196448,1,0,8829952,30106.30078,2796,,13,168
2016,33140,"Michigan City-La Porte, IN",,110015,58409,0.18,0,0.2,161494,0.69,1.466683149,0.093939759,0,0,4005,0,0,,0,0
2016,33220,"Midland, MI",,83462,44042,0.34,0,0.0,165076,0.73,,1.679219246,0,0,,,,,0,0
2016,33260,"Midland, TX",nothing,168323,87036,0.26,0,0.0,226687,0.84,3.101180553,0.228259623,0,1,188068,0,0,,0,0
2016,33340,"Milwaukee-Waukesha-West Allis, WI",,1572482,832401,0.35,2,24.6,240473,0.70,6.347290516,0.475675911,1,0,3235609,188548,322,,2,348
2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",,3551036,1931380,0.41,18,117.0,280403,0.63,2.569817066,1.091555357,1,0,6744862,1808,1976,,40,453
2016,33540,"Missoula, MT",nothing,116130,61209,0.41,1,7.6,306430,0.84,2.660811186,0.105463818,0,0,975671,7366,12218,,1,1060
2016,33660,"Mobile, AL",,414836,214918,0.24,0,3.1,156789,0.64,5.112513065,0.080910884,0,0,599277,0,4,,0,186
2016,33700,"Modesto, CA",,541560,273353,0.16,0,1.2,306806,0.64,5.218258381,0.105025843,0,0,34454,0,2,,0,2
2016,33740,"Monroe, LA",1.5 to shreveport,179470,89993,0.21,0,1.5,175838,0.76,12.15295506,0.055477988,0,0,96535,0,0,,0,46
2016,33780,"Monroe, MI",0.75 to detroit,149208,79046,0.19,0,0.0,170553,0.62,2.200101376,0.327735871,0,0,57503,0,303,,0,0
2016,33860,"Montgomery, AL",1.5 to birmingham,376163,198558,0.28,0,3.2,179001,0.71,3.870396614,0.051427297,0,0,8155653,0,3301,,0,88
2016,34060,"Morgantown, WV",1.25 to wheeling,138380,70508,0.33,0,9.8,189351,0.71,2.102905035,0.243630305,0,0,310937,8295,3459,,0,2479
2016,34100,"Morristown, TN",,117320,60307,0.17,0,0.8,160715,0.71,3.784520864,0.084126003,0,0,13316,0,3,,0,0
2016,34580,"Mount Vernon-Anacortes, WA",,123681,61825,0.24,0,0.0,319191,0.65,1.997073174,0.085605271,0,0,216784,16511,92,,0,0
2016,34620,"Muncie, IN",1.25 to indy,115603,51593,0.23,0,6.2,113227,0.76,2.854597092,0.112154506,0,0,13055,0,0,,0,140
2016,34740,"Muskegon, MI",0.75 to grand rapids,173408,90007,0.17,0,0.1,137213,0.76,4.371193886,0.107930459,0,0,14440,0,1,,0,0
2016,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",,449295,227352,0.24,0,1.6,218541,0.75,3.890742064,0.075713553,0,0,117665,1275,7,,0,12
2016,34900,"Napa, CA",,142166,73365,0.35,0,0.6,759725,0.67,3.756172419,0.273465514,0,0,20992,0,3,,0,0
2016,34940,"Naples-Immokalee-Marco Island, FL",,365136,162752,0.34,0,0.1,537884,0.66,2.464834929,0.305886835,0,0,125612,8368,0,,0,0
2016,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1865535,1013187,0.34,3,35.5,275377,0.57,5.803697109,0.158466026,1,0,3260762,589,506,,15,650
2016,35100,"New Bern, NC","1 hr to greenville, nc",124635,59188,0.24,0,0.0,193158,0.73,,0.150685325,0,0,,,,,0,0
2016,35300,"New Haven-Milford, CT",,856875,453748,0.35,22,79.5,281353,0.67,3.140481472,0.636836529,0,0,1394369,0,67,,31,1412
2016,35380,"New Orleans-Metairie, LA",,1268883,693754,0.29,2,29.6,242642,0.63,5.147834778,0.107507654,0,0,9170757,899251,5709,,4,349
2016,35620,"New York-Newark-Jersey City, NY-NJ-PA",,20153634,10976570,0.39,49,297.9,554767,0.42,3.699289799,0.447741985,1,1,43956700,2194737,28006,,106,350
2016,35660,"Niles-Benton Harbor, MI",<0.5 to south bend,154010,78626,0.28,0,1.7,194327,0.80,3.931562901,0.782826126,0,0,10524,4320,0,,0,8
2016,35840,"North Port-Sarasota-Bradenton, FL",,788457,361375,0.31,0,8.5,295277,0.65,3.803631544,0.336659253,0,0,84361,0,0,,0,4
2016,35980,"Norwich-New London, CT",,269801,142293,0.32,0,8.2,273560,0.71,1.604886532,0.448201418,0,0,3592309,0,1366,,0,15
2016,36100,"Ocala, FL",,349020,160477,0.18,0,0.0,181778,0.70,4.062804222,0.140258878,0,0,102783,0,0,,0,0
2016,36140,"Ocean City, NJ",,94430,46229,0.32,0,0.0,391241,0.78,2.425076723,0.050985027,0,0,14592,0,4,,0,0
2016,36220,"Odessa, TX",,157462,78217,0.15,0,0.1,156662,0.76,8.897384644,0.108073369,0,0,2580,0,0,,0,16
2016,36260,"Ogden-Clearfield, UT",0.75 to salt lake; <1 to logan,656061,320874,0.30,0,2.4,267428,0.71,1.53164804,0.366434067,0,0,15115065,0,29032,,0,3
2016,36420,"Oklahoma City, OK",,1373211,711902,0.30,0,18.5,191735,0.71,4.535667419,0.139511958,0,0,23855920,27205,8919,,4,358
2016,36500,"Olympia-Tumwater, WA",,275222,149203,0.35,0,8.0,289642,0.68,2.201858759,0.190971106,0,0,158050,0,34,,0,7
2016,36540,"Omaha-Council Bluffs, NE-IA",,924495,483640,0.35,0,8.3,201646,0.78,3.563583612,0.170609251,0,1,8320861,628,5228,,0,61
2016,36740,"Orlando-Kissimmee-Sanford, FL",,2441257,1313084,0.31,2,13.4,244720,0.54,5.026918411,0.25256291,1,0,3294486,0,717,,4,105
2016,36780,"Oshkosh-Neenah, WI",0.5 to appleton; <1 to green bay,169886,87801,0.28,0,3.2,178779,0.83,1.71879971,0.59278667,0,0,14405,0,0,,0,16
2016,36980,"Owensboro, KY",,119706,59855,0.21,0,1.0,169878,0.78,1.261423826,0.116282478,0,1,55926,0,0,,0,0
2016,37100,"Oxnard-Thousand Oaks-Ventura, CA",,849738,443822,0.34,0,2.0,593881,0.67,2.224215031,0.80163449,0,0,11535027,100902,29440,,0,3
2016,37340,"Palm Bay-Melbourne-Titusville, FL",1.25 to orlando,579130,295210,0.29,2,6.5,218377,0.66,4.738141537,0.573428571,0,0,13479502,719193,157332,,2,46
2016,37460,"Panama City, FL",1.5 to destin,200893,106180,0.23,0,0.0,195704,0.70,4.82346344,0.177273542,0,0,5847608,0,27650,,0,0
2016,37620,"Parkersburg-Vienna, WV","1.75 to colubus, oh",90554,46434,0.24,0,0.1,145203,0.80,2.042979956,0.182536528,0,0,536844,0,16,,0,0
2016,37860,"Pensacola-Ferry Pass-Brent, FL",1 to mobile,485684,253046,0.27,0,2.7,193558,0.68,4.916777134,0.110468939,0,0,11715072,7417,15958,,0,19
2016,37900,"Peoria, IL",0.75 to bloomington; ,376044,193418,0.28,0,6.9,167469,0.78,3.175287008,0.550677717,0,0,653190,0,982,,0,9
2016,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,6070500,3250603,0.37,23,233.8,288459,0.54,4.584608078,0.4856399,1,0,30281166,115545,35633,,54,468
2016,38060,"Phoenix-Mesa-Scottsdale, AZ",,4661537,2391221,0.31,3,30.5,286149,0.61,3.543466568,0.459587991,1,0,8497522,34151,159777,,16,161
2016,38220,"Pine Bluff, AR",,94071,48724,0.17,0,0.5,109690,0.74,6.984086514,0.015866157,0,0,3734176,0,14641,,0,224
2016,38300,"Pittsburgh, PA",,2342299,1249968,0.35,14,117.7,183462,0.60,2.920634747,0.404079467,1,0,8236608,665164,1356,,40,897
2016,38340,"Pittsfield, MA",,126903,64463,0.34,0,35.5,276168,0.74,2.911109924,0.247492313,0,0,1018546,0,31,,0,74
2016,38540,"Pocatello, ID",,84377,41967,0.28,0,2.7,158756,0.86,2.216243744,0.186229795,0,0,83732,0,9,,0,533
2016,38860,"Portland-South Portland, ME",nothing,529657,288482,0.39,0,18.3,293875,0.66,1.253641486,0.349107057,0,0,5449981,0,16543,,0,61
2016,38900,"Portland-Vancouver-Hillsboro, OR-WA",,2425325,1352077,0.39,2,49.1,384008,0.59,2.405395746,0.909886777,1,0,6533669,148681,783,,7,342
2016,38940,"Port St. Lucie, FL",,465208,219541,0.24,0,0.0,255397,0.59,2.85893631,0.467588156,0,0,289623,15859,516,,0,0
2016,39140,"Prescott, AZ",1.75 to phoenix,225562,104889,0.24,0,1.6,263355,0.73,1.782215118,0.178456217,0,0,518271,68104,45042,,0,1
2016,39300,"Providence-Warwick, RI-MA",,1614750,858199,0.32,11,105.9,308772,0.65,3.291265726,0.393005878,1,0,9943718,1000,1876,,21,399
2016,39340,"Provo-Orem, UT",,602543,251421,0.38,0,72.5,313141,0.75,0.707003474,0.933484852,0,0,159384,2304,6,,0,122
2016,39380,"Pueblo, CO",,165123,82713,0.21,0,0.8,198827,0.77,5.686669827,0.127281055,0,0,5912455,960,23132,,0,6
2016,39460,"Punta Gorda, FL",,178465,75970,0.24,0,0.0,222232,0.66,1.652985215,0.163810059,0,0,0,0,10,,0,0
2016,39540,"Racine, WI",0.75 to milwaukee,195140,101878,0.23,0,0.0,202808,0.64,1.998565078,0.435882211,0,0,2685,0,0,,0,0
2016,39580,"Raleigh, NC",,1302946,717071,0.47,10,61.2,272623,0.61,2.004582167,1.099489927,0,0,989804,8955,15,,28,662
2016,39660,"Rapid City, SD",nothing,143367,73094,0.30,0,1.4,224006,0.87,3.913034439,0.123555541,0,0,5171707,38533,4082,,0,749
2016,39740,"Reading, PA","1.25 to harrisburg, 1 to allentown",414812,212252,0.25,0,2.3,206982,0.69,3.268950701,0.207219318,0,0,89022,0,0,,0,0
2016,39820,"Redding, CA",,179631,89715,0.22,0,0.1,273007,0.84,7.097884178,0.076461405,0,0,424649,48476,160,,0,0
2016,39900,"Reno, NV",,457387,243384,0.29,0,6.2,361885,0.77,3.633684397,0.661444962,0,0,1711539,1528,395,,1,640
2016,40060,"Richmond, VA",,1282066,692724,0.37,0,19.2,265627,0.65,2.299886227,0.189303026,0,0,21814634,32499.5,83422,,4,427
2016,40140,"Riverside-San Bernardino-Ontario, CA",,4527837,2302941,0.21,3,24.0,353610,0.54,3.211467266,0.148691475,1,0,21830714,17934,335161,,6,103
2016,40220,"Roanoke, VA",2 to charlottesville,312576,163381,0.26,0,3.4,229195,0.57,2.047792912,0.309589446,0,0,1428822,2786,235,,0,11
2016,40340,"Rochester, MN",1.25 to minny,215884,111703,0.37,0,0.0,228343,0.78,1.394267321,2.042996883,0,0,23899,0,54,,0,0
2016,40380,"Rochester, NY",1.5 to syracuse or buffalo,1078879,560566,0.34,3,69.3,170050,0.75,2.677901268,1.670443654,0,0,512716,71409,256,,18,874
2016,40420,"Rockford, IL",1.5 to chicago,339376,174248,0.22,0,0.4,152313,0.75,6.727052212,0.506339669,0,0,254681,0,0,,0,0
2016,40580,"Rocky Mount, NC",0.75 to greenville; ,147323,75821,0.17,0,0.4,146855,0.72,4.564491272,0.087063871,0,0,19077,0,0,,0,0
2016,40660,"Rome, GA",1.25 to atlanta,96560,48225,0.24,0,3.3,155631,0.72,3.46934557,0.057848226,0,0,0,0,0,,0,0
2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",,2296418,1206366,0.33,13,103.6,404665,0.62,4.012335777,0.282683164,1,0,4456282,7193,2611,,34,734
2016,40980,"Saginaw, MI",0.75 to flint,192326,96156,0.23,0,1.1,120226,0.75,6.714293957,0.292508543,0,1,361813,0,18,,0,0
2016,41060,"St. Cloud, MN",,195644,95827,0.25,0,11.3,202357,0.80,1.753184319,0.133195743,0,0,506272,4097,224,,0,31
2016,41100,"St. George, UT",nothing,160245,68811,0.28,0,0.0,283601,0.86,1.248088837,0.216576904,0,0,346090,0,1535,,0,0
2016,41140,"St. Joseph, MO-KS",1 hour to kc,127528,67840,0.22,0,0.8,143613,0.81,3.476883411,0.134208128,0,1,414275,0,437,,0,0
2016,41180,"St. Louis, MO-IL",,2807954,1498066,0.34,9,64.4,214825,0.62,4.2768507,0.329703391,1,0,15637900,1314581.625,8802,,19,1078
2016,41420,"Salem, OR",,418139,206919,0.24,0,6.8,257664,0.68,2.277407169,0.147644117,0,0,352928,5976,398,,0,8
2016,41500,"Salinas, CA",,435232,220202,0.25,0,0.5,636126,0.74,4.211546898,0.2438218,0,0,7767627,2172,135981,,0,540
2016,41540,"Salisbury, MD-DE",,400200,194587,0.26,0,4.7,280496,0.66,4.011176109,0.077964261,0,0,138652,11265.59961,5,,0,53
2016,41620,"Salt Lake City, UT",,1186187,618788,0.33,2,30.7,310625,0.71,3.349387646,0.584100008,0,0,10423180,0,64998,,12,700
2016,41660,"San Angelo, TX",nothing,120189,58864,0.25,0,1.9,153331,0.89,2.903759956,0.031809509,0,0,2806789,0,1319,,0,45
2016,41700,"San Antonio-New Braunfels, TX",,2429609,1253083,0.28,0,19.3,206012,0.61,3.882369041,0.196251288,1,0,38060340,11822,44020,,0,307
2016,41740,"San Diego-Carlsbad, CA",,3317749,1789905,0.37,12,119.1,617912,0.63,3.190416098,1.507548928,1,0,69596528,0,321899,,21,350
2016,41860,"San Francisco-Oakland-Hayward, CA",,4679166,2680912,0.48,43,276.5,957792,0.46,4.881853104,2.031059504,1,0,29164726,957048.3125,23195,,47,799
2016,41940,"San Jose-Sunnyvale-Santa Clara, CA",,1978816,1106034,0.50,32,125.1,1129408,0.55,2.462078333,6.952212811,1,0,3887506,199612,711,,35,944
2016,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",,282887,134596,0.36,0,22.4,615567,0.76,4.160671711,0.36299476,0,0,1709553,0,40054,,0,0
2016,42100,"Santa Cruz-Watsonville, CA",,274673,138195,0.41,3,45.8,787752,0.63,4.14674902,1.854776502,0,0,132748,0,3,,11,1120
2016,42140,"Santa Fe, NM",1 hr to abq,148651,76696,0.42,0,1.3,351450,0.69,2.650503635,0.500637949,0,0,407245,13042,21,,0,0
2016,42200,"Santa Maria-Santa Barbara, CA",,446170,210739,0.32,9,59.0,840976,0.79,,1.0087744,0,0,,,,,20,1113
2016,42220,"Santa Rosa, CA",,503070,268357,0.34,0,3.3,657446,0.69,3.61977458,0.55996567,0,0,118929,0,0,,0,3
2016,42340,"Savannah, GA",2 to charleston,384024,201613,0.31,0,1.7,237972,0.64,3.357900858,0.098378018,0,0,1504553,0,375,,0,21
2016,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.25 to allentown; 1 to east stroudsburg,555225,287162,0.24,0,9.6,160031,0.73,2.299968481,0.127839625,0,0,2317461,0,188,,0,3
2016,42660,"Seattle-Tacoma-Bellevue, WA",,3798902,2156401,0.42,22,100.6,484306,0.52,3.138275146,1.298919559,1,0,41557948,70000,404557,,45,559
2016,42680,"Sebastian-Vero Beach, FL",,151563,64455,0.29,0,0.0,346585,0.77,2.678754091,0.302998334,0,0,41574,0,0,,0,0
2016,42700,"Sebring, FL",,100917,42589,0.13,0,0.0,143373,0.79,,0.071909927,0,0,,,,,0,0
2016,43100,"Sheboygan, WI",1.25 to green bay; 1.25 to appleton,115427,60522,0.26,0,0.1,180142,0.84,1.611408114,0.32877937,0,1,2840,0,0,,0,0
2016,43300,"Sherman-Denison, TX",,128235,64062,0.19,0,2.5,161717,0.74,2.596794844,0.160240129,0,0,94217,0,0,,0,1
2016,43340,"Shreveport-Bossier City, LA",,441767,227734,0.22,0,2.2,186422,0.77,5.197281361,0.106107153,0,0,6154359,0,305,,0,0
2016,43420,"Sierra Vista-Douglas, AZ",2 hours to touscon,125770,61286,0.24,0,0.0,146647,0.78,,0.072039127,0,0,,,,,0,0
2016,43580,"Sioux City, IA-NE-SD",1.5 from omaha,167947,83341,0.21,0,0.6,143751,0.81,2.447200537,0.194547236,0,1,625665,0,162,,0,0
2016,43620,"Sioux Falls, SD",nothing,256479,134124,0.34,0,2.2,228726,0.85,3.19324398,0.295508355,0,0,718008,0,201,,0,9
2016,43780,"South Bend-Mishawaka, IN-MI",,320740,161067,0.26,1,39.5,158223,0.75,3.16143918,0.339295328,0,0,254195,0,1,,7,753
2016,43900,"Spartanburg, SC",,329136,169131,0.21,0,1.6,156098,0.71,3.839897394,0.222983062,0,0,68529,0,4,,0,0
2016,44060,"Spokane-Spokane Valley, WA",,556264,289531,0.30,0,10.2,238538,0.73,3.093854666,0.253386289,0,0,5298878,0,77919,,0,18
2016,44100,"Springfield, IL",45 min to decatur,208892,108732,0.35,0,1.3,161078,0.81,7.673821926,0.157652169,0,0,795464,4336,78,,0,15
2016,44140,"Springfield, MA",,630283,314523,0.31,5,102.3,248732,0.71,5.026746273,0.247383371,0,0,3037153,4690,2444,,14,614
2016,44180,"Springfield, MO",nothing,456434,224880,0.27,0,7.2,173193,0.73,5.318303585,0.080552496,0,0,225032,1864,294,,0,40
2016,44220,"Springfield, OH",,134786,66997,0.18,0,5.5,127429,0.72,3.707464218,0.153823689,0,0,588732,0,192,,0,1
2016,44300,"State College, PA",,161464,78162,0.48,28,108.3,253219,0.81,0.786553025,0.641189158,0,0,140822,0,2,,45,10487
2016,44420,"Staunton-Waynesboro, VA",1.75 to richmond,121247,62555,0.28,0,0.9,223241,0.70,,0.099994987,0,0,,,,,0,0
2016,44700,"Stockton-Lodi, CA",,733709,369708,0.17,0,2.9,338518,0.59,7.286267281,0.166215926,0,0,6482982,0,109,,0,16
2016,44940,"Sumter, SC",,107396,53083,0.19,0,0.0,171027,0.75,6.618171692,0.045179456,0,0,3382765,0,2893,,0,0
2016,45060,"Syracuse, NY",,656510,339781,0.31,3,35.9,167070,0.77,2.882210493,0.431250125,0,0,1876652,0,407,,6,427
2016,45220,"Tallahassee, FL",nothing,380110,185947,0.39,0,25.3,206903,0.71,6.732261658,0.226423666,0,0,484598,5606,226,,6,1376
2016,45300,"Tampa-St. Petersburg-Clearwater, FL",,3032171,1594442,0.29,1,17.0,227918,0.59,3.574996233,0.241720125,1,0,9615331,0,5952,,4,267
2016,45460,"Terre Haute, IN",1.5 to bloomington,169518,84756,0.21,0,10.8,123241,0.72,1.93489778,0.089203872,0,0,407861,0,121,,0,47
2016,45500,"Texarkana, TX-AR",,149721,77333,0.18,0,0.0,135256,0.80,5.343271732,0.024150327,0,0,8066066,0,14729,,0,0
2016,45540,"The Villages, FL",,123996,38905,0.29,0,0.0,247297,0.65,,0.045472521,0,0,,,,,0,0
2016,45780,"Toledo, OH",<1 to ann arbor; 1.25 to detroit,605221,308571,0.27,0,13.3,154983,0.78,5.547934532,0.312262625,0,1,699623,0,570,,2,275
2016,45820,"Topeka, KS",,233068,117666,0.28,0,0.7,159330,0.78,3.728700161,0.039264429,0,0,1866718,10769,336,,0,1
2016,45940,"Trenton, NJ",,371023,196563,0.43,17,98.6,368953,0.63,3.47393322,1.303444386,0,0,573116,0,0,,22,9
2016,46060,"Tucson, AZ",,1016206,483186,0.32,10,58.9,216995,0.66,4.389857769,0.720310569,0,0,8414318,37750,9487,,32,1385
2016,46140,"Tulsa, OK",,987958,509518,0.27,0,5.3,179001,0.74,4.575277328,0.233585507,0,0,1347861,0,233,,0,41
2016,46220,"Tuscaloosa, AL",<1 to birmingham,239593,119045,0.28,0,7.6,188364,0.72,3.609929085,0.069382802,0,0,731183,6856,651,,0,438
2016,46340,"Tyler, TX",1.5 to dallas,225290,111595,0.25,0,0.5,185943,0.71,3.297971487,0.116238289,0,0,225071,0,0,,0,28
2016,46540,"Utica-Rome, NY",1 to syracuse,293803,149419,0.25,0,7.8,148567,0.78,2.682749987,0.088697746,0,0,143445,0,8,,0,15
2016,46660,"Valdosta, GA",1.5 to albany,144504,69799,0.23,0,0.9,164921,0.82,2.927254677,0.031520654,0,0,3255865,0,117556,,0,3
2016,46700,"Vallejo-Fairfield, CA",,440207,236297,0.25,0,0.1,406330,0.55,4.792063713,0.209984541,0,0,7612109,122300,6684,,0,12
2016,47020,"Victoria, TX",,100227,49543,0.19,0,0.0,175193,0.75,4.220419884,0.048250239,0,0,83278,0,0,,0,0
